label	s1	s2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
0.03	d11_1207_2	d19_1203_4	13	0.552899	0.950122	0.742662	0.734924	0.7504	0.306534	41400
0.03	d11_1207_3	d19_1203_4	13	0.605107	0.948885	0.671882	0.662649	0.681115	0.283529	48408
0.03	d11_1207_4	d19_1203_4	12	0.554237	0.939385	0.659696	0.650123	0.669268	0.274637	42794
0.03	d11_1268_1	d19_1203_4	8	0.968424	0.940466	0.974237	0.972293	0.976182	0.62021	44844
0.03	d11_1268_2	d19_1203_4	5	0.97418	0.922808	0.974209	0.972264	0.976155	0.620436	54997
0.03	d11_1269_1	d19_1203_4	12	0.703812	0.939533	0.650498	0.640969	0.660026	0.254009	64432
0.03	d11_1269_2	d19_1203_4	9	0.649687	0.932533	0.666474	0.657172	0.675777	0.272899	54437
0.03	d11_1270_1	d19_1203_4	5	0.837837	0.94412	0.739927	0.731973	0.747881	0.375247	72051
0.03	d11_1270_2	d19_1203_4	8	0.694951	0.953635	0.741629	0.733753	0.749505	0.368294	38407
0.03	d11_1271_1	d19_1203_4	4	0.760467	0.933417	0.764065	0.756887	0.771244	0.390106	48703
0.03	d11_1271_2	d19_1203_4	4	0.777188	0.929917	0.798512	0.792264	0.80476	0.404939	52385
0.03	d19_1203_1	d19_1203_4	9	0.301063	0.959717	0.200146	0.188106	0.212185	0.108786	35760
0.03	d19_1203_2	d19_1203_4	12	0.581178	0.930332	0.382802	0.368257	0.397347	0.22014	36106
0.03	d19_1203_3	d19_1203_4	20	0.157728	0.965559	0.058558	0.051839	0.065276	0.020375	43480
0.03	d11_1203_1	d19_1207_1	11	0.818909	0.929796	0.809615	0.802327	0.816902	0.430359	40267
0.03	d11_1203_2	d19_1207_1	9	0.795486	0.918837	0.816746	0.809673	0.823819	0.436821	35665
0.03	d11_1203_3	d19_1207_1	10	0.77204	0.923965	0.845767	0.839456	0.852079	0.453186	31953
0.03	d11_1203_4	d19_1207_1	9	0.806182	0.92255	0.814494	0.807324	0.821663	0.438173	37561
0.03	d11_1207_1	d19_1207_1	10	0.79581	0.918804	0.804194	0.796505	0.811883	0.441123	35653
